date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:04	22/22	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2012%20Nov%202020%2013:21:05%20GMT	https://flexiblog-personal.web.app/about	E:/Angular/Blog/flexiblog-personal.web.app/about	(from https://flexiblog-personal.web.app/)
18:21:05	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2012%20Nov%202020%2013:21:05%20GMT	https://flexiblog-personal.web.app/contact	E:/Angular/Blog/flexiblog-personal.web.app/contact	(from https://flexiblog-personal.web.app/)
18:21:05	53214/53214	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/about/	E:/Angular/Blog/flexiblog-personal.web.app/about/index.html	(from https://flexiblog-personal.web.app/)
18:21:05	55557/55557	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/contact/	E:/Angular/Blog/flexiblog-personal.web.app/contact/index.html	(from https://flexiblog-personal.web.app/)
18:21:06	32897/32897	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/static/memphis-b8f9c89c64b0fa18da29f0f89b42f71f.png	E:/Angular/Blog/flexiblog-personal.web.app/static/memphis-b8f9c89c64b0fa18da29f0f89b42f71f.png	(from https://flexiblog-personal.web.app/)
18:21:08	224717/224717	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/static/41bc1caf29080d62bd156256ffb0cd6a/f87fb/hero.png	E:/Angular/Blog/flexiblog-personal.web.app/static/41bc1caf29080d62bd156256ffb0cd6a/f87fb/hero.png	(from https://flexiblog-personal.web.app/)
18:21:09	25999/25999	---M-Z	200	added ('OK')	image/jpeg	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/static/90a14b9d2337e448de6a033b1c83c93b/8f7be/image.jpg	E:/Angular/Blog/flexiblog-personal.web.app/static/90a14b9d2337e448de6a033b1c83c93b/8f7be/image.jpg	(from https://flexiblog-personal.web.app/)
18:21:09	129331/129331	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/markdown-language-sample-blog/	E:/Angular/Blog/flexiblog-personal.web.app/markdown-language-sample-blog/index.html	(from https://flexiblog-personal.web.app/)
18:21:10	54117/54117	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/static/41bc1caf29080d62bd156256ffb0cd6a/97df7/jane-smith.png	E:/Angular/Blog/flexiblog-personal.web.app/static/41bc1caf29080d62bd156256ffb0cd6a/97df7/jane-smith.png	(from https://flexiblog-personal.web.app/)
18:21:10	78695/78695	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Oct%202020%2012:22:17%20GMT	https://flexiblog-personal.web.app/category/advertising/	E:/Angular/Blog/flexiblog-personal.web.app/category/advertising/index.html	(from https://flexiblog-personal.web.app/)
